Tahun,Bulan,Tanaman,Produksi,Luas_Lahan,Prediksi
2021,1,Gula Tebu,0.6,193.7,6.023592545954367
2021,2,Gula Tebu,7.13,193.7,3.6135772919751896
2021,3,Gula Tebu,17.17,193.7,7.982343880813964
2021,4,Gula Tebu,74.92,193.7,15.622569481939827
2021,5,Gula Tebu,89.02,193.7,92.58096627625456
2021,6,Gula Tebu,162.98,193.7,130.60282381267157
2021,7,Gula Tebu,178.26,193.7,187.02502850115525
2021,8,Gula Tebu,163.66,193.7,196.44053404672403
2021,9,Gula Tebu,137.03,193.7,170.69541670156912
2021,10,Gula Tebu,95.35,193.7,92.5018017529116
2021,11,Gula Tebu,38.15,193.7,56.208855369027155
2021,12,Gula Tebu,4.7,193.7,23.927079310136186
2021,1,Karet Kering,19.26,354.4,21.555876172195696
2021,2,Karet Kering,19.01,354.4,19.52719854968282
2021,3,Karet Kering,18.56,354.4,20.728880387836917
2021,4,Karet Kering,18.34,354.4,19.132859448754807
2021,5,Karet Kering,15.72,354.4,22.058586613459138
2021,6,Karet Kering,19.56,354.4,21.240812165761913
2021,7,Karet Kering,18.2,354.4,20.220891354457926
2021,8,Karet Kering,15.86,354.4,18.91377690787598
2021,9,Karet Kering,17.32,354.4,25.69148675577506
2021,10,Karet Kering,18.27,354.4,22.434557815581808
2021,11,Karet Kering,18.17,354.4,20.592979559213873
2021,12,Karet Kering,20.8,354.4,23.963981205335624
2021,1,Kopi,0.01,23.3,-0.014380229086610158
2021,2,Kopi,0.01,23.3,-0.038782320010009336
2021,3,Kopi,0.02,23.3,-0.026326374467243216
2021,4,Kopi,0.07,23.3,0.16146935357777759
2021,5,Kopi,0.22,23.3,0.2816955081693798
2021,6,Kopi,0.87,23.3,0.7051635128218183
2021,7,Kopi,1.6,23.3,1.6936886485307712
2021,8,Kopi,1.71,23.3,2.135197826860066
2021,9,Kopi,0.53,23.3,1.52425697736428
2021,10,Kopi,0.12,23.3,0.3328491235937583
2021,11,Kopi,0.12,23.3,0.1793200455960081
2021,12,Kopi,0.05,23.3,0.0554216196728438
2021,1,Minyak Sawit,2499.03,8574.9,2347.9849786932673
2021,2,Minyak Sawit,2324.18,8574.9,2201.899592501501
2021,3,Minyak Sawit,2588.91,8574.9,2101.2512406399924
2021,4,Minyak Sawit,2565.18,8574.9,2230.243960288127
2021,5,Minyak Sawit,2481.59,8574.9,2295.7896952021697
2021,6,Minyak Sawit,2652.27,8574.9,2143.5197844898776
2021,7,Minyak Sawit,2469.66,8574.9,2465.27125989128
2021,8,Minyak Sawit,2567.39,8574.9,2410.2901082392777
2021,9,Minyak Sawit,2547.63,8574.9,2416.4565361213295
2021,10,Minyak Sawit,2357.61,8574.9,2483.9459842139145
2021,11,Minyak Sawit,2298.4,8574.9,2254.301206808141
2021,12,Minyak Sawit,2265.8,8574.9,2288.6399894153697
2021,1,Teh,7.8,54.4,8.246087885430923
2021,2,Teh,6.39,54.4,7.279178153073319
2021,3,Teh,8.01,54.4,7.770879373573472
2021,4,Teh,8.11,54.4,8.28361399656248
2021,5,Teh,6.82,54.4,8.015622561823001
2021,6,Teh,8.58,54.4,8.294527671875382
2021,7,Teh,6.77,54.4,7.367905892377502
2021,8,Teh,6.95,54.4,7.359826553820103
